P166	award received (P166)
P175	performer (P175)
P291	place of publication (P291)
P1075	rector (P1075)
P2632	place of detention (P2632)
P1000	record held (P1000)
P5052	supervisory board member (P5052)
P3342	significant person (P3342)
P1318	proved by (P1318)
P840	narrative location (P840)
P1441	present in work (P1441)
P2746	production statistics (P2746)
P559	terminus (P559)
P736	cover art by (P736)
P1344	participant in (P1344)
P485	archives at (P485)
P6087	coach of sports team (P6087)
P1399	convicted of (P1399)
P530	diplomatic relation (P530)
P765	surface played on (P765)
P749	parent organization (P749)
P16	transport network (P16)
P155	follows (P155)
P286	head coach (P286)
P86	composer (P86)
P495	country of origin (P495)
P3716	social classification (P3716)
P4969	derivative work (P4969)
P945	allegiance (P945)
P598	commander of (DEPRECATED) (P598)
P101	field of work (P101)
P6872	has written for (P6872)
P5021	assessment (P5021)
P1028	donated by (P1028)
P2522	victory (P2522)
P803	professorship (P803)
P1830	owner of (P1830)
P870	instrumentation (P870)
P1596	penalty (P1596)
P282	writing system (P282)
P4584	first appearance (P4584)
P740	location of formation (P740)
P7888	merged into (P7888)
P1398	structure replaces (P1398)
P3975	general secretary (P3975)
P462	color (P462)
P1433	published in (P1433)
P647	drafted by (P647)
P725	voice actor (P725)
P135	movement (P135)
P1327	partner in business or sport (P1327)
P6193	ratified by (P6193)
P156	followed by (P156)
P8413	academic appointment (P8413)
P1136	solved by (P1136)
P421	located in time zone (P421)
P1347	military casualty classification (P1347)
P2670	has part(s) of the class (P2670)
P504	shipping port (P504)
P3730	next higher rank (P3730)
P264	record label (P264)
P121	item operated (P121)
P1542	has effect (P1542)
P3729	next lower rank (P3729)
P509	cause of death (P509)
P500	exclave of (P500)
P12363	clerked for (P12363)
P1196	manner of death (P1196)
P457	foundational text (P457)
P8403	theorised by (P8403)
P1336	territory claimed by (P1336)
P912	has facility (P912)
P190	twinned administrative body (P190)
P1383	contains settlement (P1383)
P5832	political coalition (P5832)
P664	organizer (P664)
P710	participant (P710)
P634	team captain (P634)
P1026	academic thesis (P1026)
P167	structure replaced by (P167)
P178	developer (P178)
P2283	uses (P2283)
P360	is a list of (P360)
P189	location of discovery (P189)
P186	made from material (P186)
P5588	invasive to (P5588)
P3301	broadcast by (P3301)
P1038	relative (P1038)
P449	original broadcaster (P449)
P2499	league level above (P2499)
P2500	league level below (P2500)
P1435	heritage designation (P1435)
P162	producer (P162)
P161	cast member (P161)
P3279	statistical leader (P3279)
P136	genre (P136)
P371	presenter (P371)
P532	port of registry (P532)
P483	recorded at studio or venue (P483)
P1716	brand (P1716)
P1313	office held by head of government (P1313)
P272	production company (P272)
P2291	charted in (P2291)
P2095	co-driver (P2095)
P3438	vehicle normally used (P3438)
P2515	costume designer (P2515)
P414	stock exchange (P414)
P915	filming location (P915)
P6587	league system (P6587)
P859	sponsor (P859)
P57	director (P57)
P2348	time period (P2348)
P210	party chief representative (P210)
P1598	consecrator (P1598)
P750	distributed by (P750)
P1589	lowest point (P1589)
P8546	recording location (P8546)
P7376	worn by (P7376)
P144	based on (P144)
P8875	indexed in bibliographic review (P8875)
P7501	audio system (P7501)
P942	theme music (P942)
P8324	funder (P8324)
P2416	sports discipline competed in (P2416)
P400	platform (P400)
P1595	charge (P1595)
P3448	stepparent (P3448)
P542	officially opened by (P542)
P2936	language used (P2936)
P3093	recovered by (P3093)
P3931	copyright holder (P3931)
P1431	executive producer (P1431)
P505	general manager (P505)
P1576	lifestyle (P1576)
P831	parent club (P831)
P248	stated in (P248)
P3461	designated as terrorist by (P3461)
P5995	kit supplier (P5995)
P306	operating system (P306)
P1656	unveiled by (P1656)
P1706	together with (P1706)
P172	ethnic group (P172)
P408	software engine (P408)
P5444	model year (P5444)
P413	position played on team / speciality (P413)
P4622	trophy awarded (P4622)
P437	distribution format (P437)
P105	taxon rank (P105)
P631	structural engineer (P631)
P450	astronaut mission (P450)
P199	organizational divisions (P199)
P6803	taxon found at location (P6803)
P467	legislated by (P467)
P726	candidate (P726)
P1875	represented by (P1875)
P822	mascot (P822)
P1412	languages spoken, written or signed (P1412)
P3091	mount (P3091)
P4794	season starts (P4794)
P1192	connecting service (P1192)
P7936	business model (P7936)
P141	IUCN conservation status (P141)
P737	influenced by (P737)
P1535	used by (P1535)
P1990	species kept (P1990)
P1840	investigated by (P1840)
P171	parent taxon (P171)
P2408	set in period (P2408)
P747	has edition or translation (P747)
P1884	hair color (P1884)
